Liste de régions : Tone_Peoples_1_F4_2006.wav

Nom                                Début           Fin      Longueur
d5b+d7_a_boucle d'oreille naxi  00:10:17,087  00:10:18,062  00:00:00,975
d5b+d7_s_boucle d'oreille naxi  00:10:19,553  00:10:20,702  00:00:01,149
d5b+d7_s_boucle d'oreille naxi  00:10:22,165  00:10:23,825  00:00:01,660
d5b+d7_s_boucle d'oreille naxi  00:10:26,855  00:10:27,877  00:00:01,021
d5b+d7_s_boucle d'oreille naxi)  00:10:25,477  00:10:26,282  00:00:00,805
d5b+d7_s_boucle d'oreille naxi_détachant les syllabes_très clair)  00:10:31,880  00:10:33,125  00:00:01,245
d5b+d7_s_briquet naxi       00:11:55,382  00:11:56,450  00:00:01,068
d5b+d7_s_col d'argent naxi  00:11:36,051  00:11:37,328  00:00:01,277
d5b+d7_s_turban naxi        00:11:17,754  00:11:19,100  00:00:01,346
d7+m1_s_bol lisu            00:16:38,999  00:16:42,145  00:00:03,146
d7+m1_s_bol lisu_mettant en valeur le ton L final  00:16:44,885  00:16:45,953  00:00:01,068
d7+m2_s_champ lisu          00:16:17,694  00:16:18,739  00:00:01,044
d7+m4a_s_sang lisu          00:17:07,780  00:17:08,871  00:00:01,091
d7+m4a_s_sang lisu          00:17:19,877  00:17:21,480  00:00:01,602
d7+d1_s_couverture lisu     00:00:09,822  00:00:13,116  00:00:03,294
d7+d1_s_couverture lisu     00:00:31,079  00:00:32,345  00:00:01,265
d7+d1_s_couverture lisu     00:00:32,670  00:00:33,703  00:00:01,033
d7+d1_s_couverture lisu     00:22:46,038  00:22:50,171  00:00:04,133
d7+d1_s_couverture lisu     00:24:11,951  00:24:13,379  00:00:01,428
d7+d1_s_couverture lisu)    00:00:16,518  00:00:17,191  00:00:00,673
d7+d1_s_couverture lisu)    00:00:28,055  00:00:28,949  00:00:00,893
d7+d1_s_couverture lisu)    00:22:43,584  00:22:44,369  00:00:00,785
d7+d1_s_couverture lisu_débit rapide  00:00:34,783  00:00:35,526  00:00:00,743
d7+d1_s_couverture lisu_mettant en valeur les tons des deux dernières syllabes  00:22:53,398  00:22:55,558  00:00:02,159
